"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"6","2","SUV","Automotive","3","Y","","","suv","","Automotive","","","3/9/2021",""
"426","422","Fish and Aquariums","Pets","2","N","","fish tank, fish bowl, fish food","fish","aquarium","","","","",""
"7","2","Van","Automotive","3","Y","","","van","","Automotive","","","3/9/2021",""
"428","422","Pet Adoptions","Pets","2","N","","","","","","","","",""
"8","2","Convertible","Automotive","3","Y","","","convertible","","Automotive","","","3/9/2021",""
"430","422","Veterinary Medicine","Pets","2","N","","","","","","","","",""
"431","422","Pet Supplies","Pets","2","N","","","","","","","","",""
"9","2","Coupe","Automotive","3","Y","","","sedan","","Automotive","","","3/9/2021",""
"433","432","Celebrity Deaths","Pop Culture","2","N","","","","","","","","",""
"434","432","Celebrity Families","Pop Culture","2","N","","","","","","","","",""
"435","432","Celebrity Homes","Pop Culture","2","N","","","","","","","","",""
"436","432","Celebrity Pregnancy","Pop Culture","2","N","","","","","","","","",""
"437","432","Celebrity Relationships","Pop Culture","2","N","","","","","","","","",""
"438","432","Celebrity Scandal","Pop Culture","2","N","","","","","","","","",""
"439","432","Celebrity Style","Pop Culture","2","N","","","","","","","","",""
"440","432","Humor and Satire","Pop Culture","2","N","","","","","","","","",""
"13","2","Minivan","Automotive","3","Y","","","van","","Automotive","","","3/9/2021",""
"15","2","Pickup Trucks","Automotive","3","Y","","","pick_up_truck","","Automotive","","","3/9/2021",""
"22","16","Green Vehicles","Automotive","3","Y","","","","","Automotive","logos for all relevant brands","","3/9/2021",""
"444","441","Vacation Properties","Real Estate","2","N","","","","","","","","",""
"445","441","Developmental Sites","Real Estate","2","N","","","","","","","","",""
"23","16","Luxury Cars","Automotive","3","Y","","","","","","logos for all relevant brands","","3/9/2021",""
"92","90","Education industry","Business and Finance","3","Y","","","","university_indoor; university_outdoor; classroom","Education","logos for all relevant brands","","3/9/2021",""
"448","441","Industrial Property","Real Estate","2","N","","","","","","","","",""
"93","90","Entertainment Industry","Business and Finance","3","Y","","","","movie_theatre; concert_festival; amusement_park","Entertainment","logos for all relevant brands","","3/9/2021",""
"95","90","Financial Industry","Business and Finance","3","Y","","Bank, ATM, Stock market, Wall St","","","Financial","logos for all relevant brands","","3/9/2021",""
"451","441","Real Estate Buying and Selling","Real Estate","2","N","","","","","","","","",""
"452","441","Real Estate Renting and Leasing","Real Estate","2","N","","","","","","","","",""
"96","90","Food Industry","Business and Finance","3","Y","","","refridgerator; microwave; oven; food objects","restaurant_indoor; kitchen_indoor","Non-Alcoholic Beverages, Alcoholic Beverages, Consumer Product","logos for all relevant brands","","3/9/2021",""
"454","453","Agnosticism","Religion & Spirituality","2","N","","","","","","","","",""
"455","453","Spirituality","Religion & Spirituality","2","N","","","","","","","","",""
"456","453","Astrology","Religion & Spirituality","2","N","","","","","","","","",""
"457","453","Atheism","Religion & Spirituality","2","N","","","","","","","","",""
"458","453","Buddhism","Religion & Spirituality","2","N","","","","","","","","",""
"459","453","Christianity","Religion & Spirituality","2","N","","","","","","","","",""
"460","453","Hinduism","Religion & Spirituality","2","N","","","","","","","","",""
"461","453","Islam","Religion & Spirituality","2","N","","","","","","","","",""
"462","453","Judaism","Religion & Spirituality","2","N","","","","","","","","",""
"463","453","Sikhism","Religion & Spirituality","2","N","","","","","","","","",""
"97","90","Healthcare Industry","Business and Finance","3","Y","","","doctor","hospital","Government, Insurance, Personal Care","logos for all relevant brands","","3/9/2021",""
"465","464","Biological Sciences","Science","2","N","","","","","","","","",""
"466","464","Chemistry","Science","2","N","","","","","","","","",""
"467","464","Environment","Science","2","N","","","","","","","","",""
"468","464","Genetics","Science","2","N","","","","","","","","",""
"469","464","Geography","Science","2","N","","","","","","","","",""
"470","464","Geology","Science","2","N","","","","","","","","",""
"471","464","Physics","Science","2","N","","","","","","","","",""
"98","90","Hospitality Industry","Business and Finance","3","Y","","","suitcase; airplane","hotel_outdoor; hotel_indoor","Travel","logos for all relevant brands","","3/9/2021",""
"101","90","Logistics and Transportation Industry","Business and Finance","3","Y","","","train; bus; airplane; port; cargo_ship; semi_truck","airplane_indoor","Travel, Delivery Services","logos for all relevant brands","","3/9/2021",""
"474","473","Coupons and Discounts","Shopping","2","N","","","","","","","","",""
"106","90","Media Industry","Business and Finance","3","Y","","","","movie_theatre; concert_festival","Entertainment","logos for all relevant brands","","3/9/2021",""
"476","473","Gifts and Greetings Cards","Shopping","2","N","","","","","","","","",""
"113","90","Apparel Industry","Business and Finance","3","Y","","*Also Retail * Storefront, In-store, Clothing, Pants, Shirts, Sweaters, Shoes, Sneakers, Boots, ","","","Retail","logos for all relevant brands","","3/9/2021",""
"114","90","Retail Industry","Business and Finance","3","Y","","Stores, Shopping, Clothing, Consumer Goods, Electronics - Laptops, Cellphones, Tablets","","retail_outdoor; retail_shopping","Retail","logos for all relevant brands","","3/9/2021",""
"115","90","Technology Industry","Business and Finance","3","Y","","Electronics, Laptops, Cellphones, Tablets, Droids, Cameras","laptop; cellphone","","Computers, Retail","logos for all relevant brands","","3/9/2021",""
"480","473","Lotteries and Scratchcards","Shopping","2","N","","","","","","","","",""
"481","473","Sales and Promotions","Shopping","2","N","","","","","","","","",""
"116","90","Telecommunications Industry","Business and Finance","3","Y","","Cellphones, Video Chat, 5G, 4G, 6G, radio broadcasting, computer networks, internet, wifi, fiber optics, smart phones","cellphone","","Computers, Telecommunication","logos for all relevant brands","","3/9/2021",""
"117","90","Automotive Industry","Business and Finance","3","Y","","*Related to Automotive Category","sedan; convertible; wagon; suv; van; pick_up_truck; car; truck; motorcycle; bus","road_outdoor; car_indoor","Automotive","logos for all relevant brands","","3/9/2021",""
"484","483","American Football","Sports","2","N","","","","","","","","",""
"485","483","Boxing","Sports","2","N","","","","","","","","",""
"486","483","Cheerleading","Sports","2","N","","","","","","","","",""
"487","483","College Sports","Sports","2","N","","","","","","","","",""
"488","487","College Football","Sports","3","N","","","","","","","","",""
"489","487","College Basketball","Sports","3","N","","","","","","","","",""
"490","487","College Baseball","Sports","3","N","","","","","","","","",""
"491","483","Cricket","Sports","2","N","","","","","","","","",""
"492","483","Cycling","Sports","2","N","","","","","","","","",""
"493","483","Darts","Sports","2","N","","","","","","","","",""
"494","483","Disabled Sports","Sports","2","N","","","","","","","","",""
"495","483","Diving","Sports","2","N","","","","","","","","",""
"496","483","Equine Sports","Sports","2","N","","","","","","","","",""
"497","483","Horse Racing","Sports","3","N","","","","","","","","",""
"498","483","Extreme Sports","Sports","2","N","","","skateboard; snowboard; surfboard","","","","","",""
"499","498","Canoeing and Kayaking","Sports","3","N","","","","","","","","",""
"500","498","Climbing","Sports","3","N","","","","","","","","",""
